epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5265,1.71061,4.97043,1.36232,0.00322,0.9661,0.00569,0.0033,1.16538,4.11455,0.94386,0.00016,0.00016,0.00016
2,75.0252,1.08984,2.517,0.95963,0.00328,0.98305,0.00641,0.00405,0.98385,3.95058,0.89711,0.00032317,0.00032317,0.00032317
3,110.758,1.18119,1.82974,0.94656,0.00328,0.98305,0.00767,0.00509,1.02039,3.8814,0.90077,0.00046852,0.00046852,0.00046852
4,144.006,1.09048,1.64713,0.93726,0.00328,0.98305,0.00649,0.00357,1.1197,3.91609,0.9299,0.00059605,0.00059605,0.00059605
5,178.998,1.11212,1.45771,0.95835,0.00333,1,0.00707,0.00453,1.02778,3.69313,0.97335,0.00070576,0.00070576,0.00070576
6,216.893,1.06669,1.51675,0.95536,0.00328,0.98305,0.15049,0.11839,0.99922,3.44449,0.97602,0.00079765,0.00079765,0.00079765
7,253.245,0.9914,1.26849,0.93609,0.00333,1,0.23046,0.16635,0.98739,3.35016,0.96381,0.00087172,0.00087172,0.00087172
8,289.261,1.01625,1.32499,0.95912,0.00333,1,0.74871,0.55414,0.92999,3.14193,0.94156,0.00092797,0.00092797,0.00092797
9,325.445,0.99215,1.24583,0.92061,1,0.17805,0.88082,0.57267,1.21043,2.91786,0.99787,0.0009664,0.0009664,0.0009664
10,360.612,1.1225,1.24802,0.93963,1,0.44122,0.9374,0.68543,0.98731,2.70466,0.94979,0.00098701,0.00098701,0.00098701
11,392.268,0.97053,1.56868,0.94884,1,0.51306,0.97819,0.6862,0.97999,2.57957,0.99484,0.0009898,0.0009898,0.0009898
12,424.159,0.97774,1.49288,0.97191,1,0.90247,0.995,0.72395,1.03229,1.88695,0.96325,0.000911,0.000911,0.000911
13,456.456,0.89775,1.39084,0.92798,0.99899,1,0.995,0.73335,0.98445,1.57072,0.98608,0.000812,0.000812,0.000812
14,488.353,0.9116,1.34265,0.9089,0.99849,1,0.995,0.76179,0.87249,1.3558,0.92057,0.000713,0.000713,0.000713
15,523.457,0.84966,1.25222,0.8962,0.99469,1,0.995,0.75788,0.92416,1.25557,0.935,0.000614,0.000614,0.000614
16,555.789,0.8655,1.20338,0.90935,0.99741,1,0.995,0.74653,0.92996,1.13356,0.93469,0.000515,0.000515,0.000515
17,588.164,0.80321,1.20393,0.88577,0.99105,1,0.995,0.74604,0.90851,1.11778,0.93198,0.000416,0.000416,0.000416
18,620.864,0.82786,1.20944,0.89505,0.99641,1,0.995,0.72037,0.9409,1.02085,0.95203,0.000317,0.000317,0.000317
19,653.328,0.83115,1.15866,0.91186,0.99691,1,0.995,0.71593,0.96319,1.00149,0.95855,0.000218,0.000218,0.000218
20,686.036,0.82714,1.11002,0.89416,0.99703,1,0.995,0.75263,0.8893,0.95382,0.92707,0.000119,0.000119,0.000119
